OGID	esc,pips1,mef48,mef
OG96_0	1500002O20Rik,1500002O20Rik_pips1,1500002O20Rik_mef48,1500002O20Rik_mef
OG97_0	1500003O03Rik,1500003O03Rik_pips1,1500003O03Rik_mef48,1500003O03Rik_mef
OG98_0	1500009L16Rik,1500009L16Rik_pips1,1500009L16Rik_mef48,1500009L16Rik_mef
OG99_0	1500010J02Rik,1500010J02Rik_pips1,1500010J02Rik_mef48,1500010J02Rik_mef
OG100_0	1500011B03Rik,1500011B03Rik_pips1,1500011B03Rik_mef48,1500011B03Rik_mef
OG101_0	1500011H22Rik,1500011H22Rik_pips1,1500011H22Rik_mef48,1500011H22Rik_mef
OG102_0	1500011K16Rik,1500011K16Rik_pips1,1500011K16Rik_mef48,1500011K16Rik_mef
OG103_0	1500012F01Rik,1500012F01Rik_pips1,1500012F01Rik_mef48,1500012F01Rik_mef
OG104_0	1500015O10Rik,1500015O10Rik_pips1,1500015O10Rik_mef48,1500015O10Rik_mef
OG105_0	1500026H17Rik,1500026H17Rik_pips1,1500026H17Rik_mef48,1500026H17Rik_mef
OG106_0	1500031L02Rik,1500031L02Rik_pips1,1500031L02Rik_mef48,1500031L02Rik_mef
OG107_0	1500032L24Rik,1500032L24Rik_pips1,1500032L24Rik_mef48,1500032L24Rik_mef
OG108_0	1520401A03Rik,1520401A03Rik_pips1,1520401A03Rik_mef48,1520401A03Rik_mef
OG109_0	1520402A15Rik,1520402A15Rik_pips1,1520402A15Rik_mef48,1520402A15Rik_mef
OG110_0	1600002H07Rik,1600002H07Rik_pips1,1600002H07Rik_mef48,1600002H07Rik_mef
OG111_0	1600002K03Rik,1600002K03Rik_pips1,1600002K03Rik_mef48,1600002K03Rik_mef
OG112_0	1600010F14Rik,1600010F14Rik_pips1,1600010F14Rik_mef48,1600010F14Rik_mef
OG113_0	1600012F09Rik,1600012F09Rik_pips1,1600012F09Rik_mef48,1600012F09Rik_mef
OG114_0	1600012H06Rik,1600012H06Rik_pips1,1600012H06Rik_mef48,1600012H06Rik_mef
OG115_0	1600014C10Rik,1600014C10Rik_pips1,1600014C10Rik_mef48,1600014C10Rik_mef
OG116_0	1600016N20Rik,1600016N20Rik_pips1,1600016N20Rik_mef48,1600016N20Rik_mef
OG117_0	1600020E01Rik,1600020E01Rik_pips1,1600020E01Rik_mef48,1600020E01Rik_mef
OG118_0	1600021P15Rik,1600021P15Rik_pips1,1600021P15Rik_mef48,1600021P15Rik_mef
OG119_0	1600027N09Rik,1600027N09Rik_pips1,1600027N09Rik_mef48,1600027N09Rik_mef
OG120_0	1600029D21Rik,1600029D21Rik_pips1,1600029D21Rik_mef48,1600029D21Rik_mef
OG121_0	1700001C19Rik,1700001C19Rik_pips1,1700001C19Rik_mef48,1700001C19Rik_mef
